Fecha,Tasa_efectiva_promedio_ponderada,Montos_desembolsados,Numero_de_creditos_desembolsados,Plazo,Valor_promedio_credito
45107,16.84,10288598849,42,4,244966639.3
45121,13.81,14923709557,199,4,74993515.36
44967,18.36,1547476951,5,4,309495390.2
45233,18.96,312942124,1,4,312942124
44946,18.02,2510357935,41,5,61228242.32
45226,17.32,17662438,1,4,17662438
44939,16.28,562082093,13,3,43237084.08
45261,17.05,81070255,1,4,81070255
45219,15.8,406413549,6,5,67735591.5
45247,19.2,6000000,1,1,6000000
45282,14,58514009,1,4,58514009
45198,17.32,42595174,1,4,42595174
45030,15.49,1492456095,17,4,87791535
45261,8.7,188411782,2,4,94205891
45135,22.8,216467134,3,4,72155711.33
45261,18.25,176028084,1,4,176028084
45156,19.52,43439998,1,3,43439998
45254,15.76,910916630.1,2,4,455458315
45240,14,351257018,4,4,87814254.5
45072,20.82,1684723423,6,4,280787237.2
45072,16.44,4747862047,69,4,68809594.88
45107,18,1112490328,4,5,278122582
45212,5,77728085,1,4,77728085
45198,16.39,870904455,2,4,435452227.5
45233,17.94,294857134,1,4,294857134
45205,19.15,101612442,1,3,101612442
45254,18.3,217017815,1,4,217017815
45044,18.75,432766086,5,3,86553217.2
45254,8.8,104662861,1,5,104662861
45212,8.9,25480583,1,5,25480583
45254,14,96996505,1,5,96996505
45240,13.88,1269766877,15,4,84651125.13
45261,14,104213004,1,5,104213004
44960,18.07,4290863556,16,3,268178972.3
45212,8.8,45120238,1,5,45120238
45030,21.38,95033925,1,3,95033925
45198,14,77725235,1,4,77725235
45198,14,70575235,1,4,70575235
45212,14,51372168,1,4,51372168
45254,5,89534209,2,4,44767104.5
45149,15.54,444982619,8,3,55622827.38
44953,24.97,158175917,1,4,158175917
45135,17.89,4869508983,58,5,83957051.43
45247,18.05,10481514,1,3,10481514
45058,17.42,3046729702,21,4,145082366.8
44974,21.1,438771276,6,4,73128546
44946,22.9,375891146,3,4,125297048.7
45219,16.5,197730404,1,4,197730404
45282,5,158831127,2,4,79415563.5
45107,15.09,12929865701,168,4,76963486.32
45198,13.8,243652009,3,4,81217336.33
45093,16.11,852098797,11,3,77463527
45086,23.66,64356969,2,3,32178484.5
45212,16,72169924,1,5,72169924
45205,18.05,29603279,1,2,29603279
45079,18.97,1313415627,6,4,218902604.5
45219,18.45,166190566,1,4,166190566
45205,14,23876119,1,2,23876119
44995,23.87,24498078,1,3,24498078
45261,17.77,329102044,1,4,329102044
45226,17.38,473326728,2,4,236663364
45212,14,275579046,3,4,91859682
